serial_number;product_model;purchase_date;registration_date;country;source_note
R1217065;R1 7x56 RD - 4C;2013-03-14;;ČR;CZ legacy
R1215266;R1r 3-12x56 RD/MR - 4C;2013-03-15;;ČR;CZ legacy
R1300825;R1r 3-12x56 RD - 4C;2013-03-26;;ČR;CZ legacy
R1302327;R1r 3-12x56 RD - 4C;2013-03-26;;ČR;CZ legacy
R1220625;2100 7x50 - 4C;2013-03-24;;ČR;CZ legacy
R1212229;R1 3-10x50 - 4;2013-03-04;;Slovensko;CZ legacy
R1223563;R1r 3-12x56 RD - 4K;2013-03-25;;ČR;CZ legacy
R1221835;R1r 3-12x56 RD - 4C;2013-03-28;;ČR;CZ legacy
R1220226;R1 7x56 RD - 4C;2013-03-28;;ČR;CZ legacy
R1218766;R1r 3-12x56 RD - 4C;2013-03-25;;ČR;CZ legacy
R1219184;R1r 3-12x56 RD - 4C;2013-04-02;;ČR;CZ legacy
R1220945;R1r 3-12x56 RD - 4C;2013-02-22;;ČR;CZ legacy
R1214580;R1 1,5-6x42 RD - 4C;2013-04-11;;ČR;CZ legacy
R1214579;R1 1,5-6x42 RD - 4C;2013-04-11;;ČR;CZ legacy
R1111765;R1r 3-12x56 RD - 4K;2011-09-15;;ČR;CZ legacy
R1211656;4-16x44 -Mil-Dot spec.;2013-04-19;;ČR;CZ legacy
R1222260;R1r 3-12x56 RD - 4C;2013-04-05;;ČR;CZ legacy
R1201885;2100 3-12x50 - 4C;2013-04-15;;ČR;CZ legacy
R1221874;R1r 3-12x56 RD - 4C;2013-04-12;;ČR;CZ legacy
R1218163;R1r 3-12x56;29.2.2013;;ČR;CZ legacy
R1222459;R1r 3-12x56 RD/MR - 4C;2013-04-12;;ČR;CZ legacy
R1215530;2000 4x32 - Z;2013-04-15;;ČR;CZ legacy
R1222245;R1r 3-12x56 RD - 4C;2013-04-20;;Slovensko;CZ legacy
R1214582;R1 1,5-6x42 RD - 4C;2013-04-25;;ČR;CZ legacy
R1302339;R1r 3-12x56 RD - 4C;2013-04-25;;ČR;CZ legacy
R1215551;2000 7x50 - Z;2013-05-02;;ČR;CZ legacy
R1222156;2100 7x50 - 4C;2013-05-02;;ČR;CZ legacy
R1221867;R1r 3-12x56 RD - 4C;2013-04-29;;ČR;CZ legacy
R1302367;R1r 3-12x56 RD - 4C;;;ČR;CZ legacy
R1220631;2100 7x50 - 4C;2013-05-17;;ČR;CZ legacy
R1220642;2100 7x50 - 4C;2013-05-09;;ČR;CZ legacy
R1304260;R1r 3-12x56 RD - 4C;2013-05-20;;ČR;CZ legacy
R1215988;R1r 3-12x56 RD - 4C;2013-05-21;;Slovensko;CZ legacy
R1307776;R1r 3-12x56 RD/MR - 4C;2013-05-22;;Slovensko;CZ legacy
R1222281;R1r 3-12x56 RD - 4C;2013-04-12;;ČR;CZ legacy
R1213328;R1 1,5-6x42 RD - 4C;2013-05-02;;ČR;CZ legacy
R1207204;R1 1-4x22 RD - KD;2013-05-02;;ČR;CZ legacy
R1220258;R1 7x56 RD - 4C;2013-04-24;;Slovensko;CZ legacy
R1209206;R1 7x56 RD - 4C;2013-04-24;;ČR;CZ legacy
R1208515;R1 1,5-6x42 RD - 4C;2013-05-02;;ČR;CZ legacy
06010337;R1 1-4x22 - 1;2013-04-26;;ČR;CZ legacy
R1220294;R1 7x56 RD - 4C;2013-05-17;;ČR;CZ legacy
;1,5-6x42 RD;2013-05-13;;ČR;CZ legacy
R1204239;2000 6x42 - 4;2013-05-07;;Slovensko;CZ legacy
R1306110;R1r 3-12x56 RD/MR - 4C;2013-05-16;;ČR;CZ legacy
R1304223;R1r 3-12x56 RD - 4C;2013-06-03;;ČR;CZ legacy
R1303402;R1r 3-12x56 RGD - 4C;2013-05-20;;ČR;CZ legacy
R1220231;R1 7x56 RD - 4C;2013-05-25;;ČR;CZ legacy
R1301199;R1r 3-12x56 RD/MR - 4C;2013-05-17;;ČR;CZ legacy
R1210533;2100 7x50 - 4C;2013-05-24;;ČR;CZ legacy
R1205864;2100 3-12x50 - 4C;2013-05-27;;ČR;CZ legacy
R1219214;R1r 3-12x56 RD - 4C;2013-04-25;;ČR;CZ legacy
R1204442;R1 1,5-6x42 RD - 4C;2013-05-16;;ČR;CZ legacy
R1222139;2100 7x50 - 4C;2013-05-16;;ČR;CZ legacy
R1206970;R1r 3-12x56 RD - 4K;2013-05-11;;ČR;CZ legacy
R1301531;R1r 3-12x56 RD - 4C;2013-06-07;;ČR;CZ legacy
R1301446;R1 1-4x22 RD - KD;2013-06-12;;ČR;CZ legacy
R1213831;2100 3-12x50 - 4C;2013-05-31;;ČR;CZ legacy
R1008585;R1 3-10x50 - 1;2013-06-07;;Slovensko;CZ legacy
R1213846;2100 3-12x50 - 4C;2013-06-06;;ČR;CZ legacy
R1303389;R1r 3-12x56 RGD - 4C;2013-06-05;;ČR;CZ legacy
R1223129;R1 1,5-6x42 RD - 4C;2013-06-18;;ČR;CZ legacy
R1306936;R1r 3-12x56 RD/MR - 4C;2013-06-20;;ČR;CZ legacy
R1302467;R1r 3-12x56 RD/MR;2013-06-24;;ČR;CZ legacy
R1311793;R1 1-4x22 RD - KD;2013-06-26;;ČR;CZ legacy
R1303367;R1r 3-12x56 RGD - 4C;2013-06-12;;ČR;CZ legacy
R1221841;R1r 3-12x56 RD - 4C;2013-06-21;;Slovensko;CZ legacy
R1214676;R1 1,5-6x42 RD - 4C;2013-06-21;;ČR;CZ legacy
R1303327;R1r 3-12x56 RGD - 4C;2013-06-19;;ČR;CZ legacy
R1220286;R1 7x56 RD - 4C;2013-06-25;;ČR;CZ legacy
;2100 7x50;2013-05-20;;ČR;CZ legacy
R1216061;2100 3-12x50 - 4C;2013-06-28;;ČR;CZ legacy
R1303049;R1 1-4x22 RD - KD;2013-06-21;;Slovensko;CZ legacy
R0718835;3000 3-12x56 - 4;2013-06-26;;ČR;CZ legacy
R1303305;R1r 3-12x56 RGD - 4C;2013-06-01;;ČR;CZ legacy
R0721246;2000 3-12x50 - 1S;2013-07-12;;ČR;CZ legacy
R1303323;R1r 3-12x56 RGD - 4C;2013-07-01;;ČR;CZ legacy
R1214591;R1 1,5-6x42 RD - 4C;2013-07-08;;ČR;CZ legacy
R1306044;R1r 3-12x56 RGD - 4C;2013-07-17;;ČR;CZ legacy
R1220264;R1 7x56 RD - 4C;2013-07-26;;ČR;CZ legacy
P3172-0070;1,5-6x42 RD;2013-05-07;;ČR;CZ legacy
R1302423;R1r 3-12x56 RD - 4C;2013-07-18;;ČR;CZ legacy
R1222354;R1r 3-12x56 RD;2013-02-19;;ČR;CZ legacy
R1213797;2100 7x50 - 4C;2013-07-15;;Slovensko;CZ legacy
R1305143;2100 7x50 - 4C;2013-06-05;;Slovensko;CZ legacy
