serial_number;product_model;purchase_date;registration_date;country;source_note;;;;;;;;;;;
R1218557;MeoStar R1 1-4x22 RD;2013-02-06;2013-02-06;cz;MSO CZ;;;;;;;;;;;
R1218259;MeoStar R1r 3-12x56 RD;2013-02-06;2013-02-06;cz;MSO CZ;;;;;;;;;;;
R1220304;MeoStar R1 7x56 RD;2013-02-05;2013-02-07;cz;MSO CZ;;;;;;;;;;;
R1219261;MeoStar R1r 3-12x56 RD;2013-02-07;2013-02-07;cz;MSO CZ;;;;;;;;;;;
R1220316;MeoStar R1 7x56 RD;2013-02-05;2013-02-08;pl;MSO CZ;;;;;;;;;;;
R1223325;MeoStar R1r 3-12x56 RD;2013-02-01;2013-02-08;cz;MSO CZ;;;;;;;;;;;
R1218054;MeoStar R1r 3-12x56 RD;2013-01-14;2013-02-09;cz;MSO CZ;;;;;;;;;;;
R1218757;MeoStar R1r 3-12x56 RD;2013-02-06;2013-02-09;cz;MSO CZ;;;;;;;;;;;
R1214541;MeoStar R1 1,5-6x42 RD;2013-01-31;2013-02-10;cz;MSO CZ;;;;;;;;;;;
R1117333;MeoStar R1r 3-12x56 RD;2013-02-10;2013-02-11;cz;MSO CZ;;;;;;;;;;;
R1117333;MeoStar R1r 3-12x56 RD;2013-02-10;2013-02-11;cz;MSO CZ;;;;;;;;;;;
R1218763;MeoStar R1r 3-12x56 RD;2013-02-07;2013-02-11;cz;MSO CZ;;;;;;;;;;;
R1218141;MeoStar R1r 3-12x56 RD;2013-01-29;2013-02-12;cz;MSO CZ;;;;;;;;;;;
R1219190;MeoStar R1r 3-12x56 RD;2013-01-16;2013-02-12;cz;MSO CZ;;;;;;;;;;;
R1218788;MeoStar R1r 3-12x56 RD;2013-02-12;2013-02-12;cz;MSO CZ;;;;;;;;;;;
123499;MeoStar B1 12x50;2013-02-13;2013-02-13;cz;MSO CZ;;;;;;;;;;;
R1214551;MeoStar R1 1,5-6x42 RD;2013-02-02;2013-02-14;cz;MSO CZ;;;;;;;;;;;
R1218539;MeoStar R1 1-4x22 RD;2013-02-15;2013-02-15;cz;MSO CZ;;;;;;;;;;;
R1202183;Artemis 2100 7x50 RD;2013-02-18;2013-02-18;cz;MSO CZ;;;;;;;;;;;
R1222171;Artemis 2100 7x50 RD;2013-02-12;2013-02-18;cz;MSO CZ;;;;;;;;;;;
R1201065;Artemis 2100 7x50 RD;2013-02-18;2013-02-19;cz;MSO CZ;;;;;;;;;;;
R1200545;MeoStar R1r 3-12x56;2013-02-21;2013-02-21;cz;MSO CZ;;;;;;;;;;;
R1220695;MeoStar R1r 3-12x56 RD;2013-02-15;2013-02-22;cz;MSO CZ;;;;;;;;;;;
R1220648;Artemis 2100 7x50 RD;2013-02-21;2013-02-22;cz;MSO CZ;;;;;;;;;;;
R1220648;Artemis 2100 7x50 RD;2013-02-21;2013-02-22;cz;MSO CZ;;;;;;;;;;;
R1117766;MeoStar R1 7x56 RD;2013-02-21;2013-02-25;cz;MSO CZ;;;;;;;;;;;
R1210426;MeoStar R1r 3-12x56 RD;2013-02-26;2013-02-28;cz;MSO CZ;;;;;;;;;;;
R1220242;MeoStar R1 7x56 RD;2013-02-26;2013-03-01;;MSO CZ;;;;;;;;;;;
R1220697;MeoStar R1r 3-12x56 RD;2013-02-26;2013-03-01;cz;MSO CZ;;;;;;;;;;;
R0720274;MeoStar R1 4-16x44 Tactic;2013-03-01;2013-03-03;cz;MSO CZ;;;;;;;;;;;
R1217627;Artemis 2100 7x50 RD;2013-03-01;2013-03-03;cz;MSO CZ;;;;;;;;;;;
R1207782;MeoStar R1 4-16x44 Tactic;2013-03-01;2013-03-04;cz;MSO CZ;;;;;;;;;;;
R1220655;Artemis 2100 7x50 RD;2013-03-04;2013-03-05;cz;MSO CZ;;;;;;;;;;;
125479;MeoStar B1 10x42 HD;2013-03-04;2013-03-05;cz;MSO CZ;;;;;;;;;;;
R1218940;MeoStar R1r 3-12x56 RD;2013-02-27;2013-03-06;cz;MSO CZ;;;;;;;;;;;
R1220171;MeoStar R1 7x56 RD;2013-02-22;2013-03-08;cz;MSO CZ;;;;;;;;;;;
R1221548;ZD 6-24x56;2013-03-07;2013-03-11;cz;MSO CZ;;;;;;;;;;;
R0819276;MeoStar R1 7x56;2013-03-08;2013-03-11;cz;MSO CZ;;;;;;;;;;;
125407;MeoStar B1 8x56;2013-03-01;2013-03-11;cz;MSO CZ;;;;;;;;;;;
R1201076;Artemis 2100 7x50 RD;2013-03-02;2013-03-12;cz;MSO CZ;;;;;;;;;;;
R1218737;MeoStar R1r 3-12x56 RD;2013-03-12;2013-03-12;pl;MSO CZ;;;;;;;;;;;
R1208361;MeoStar R1 7x56 RD;2013-02-28;2013-03-13;cz;MSO CZ;;;;;;;;;;;
120878;MeoSight II 30;2013-02-21;2013-03-14;cz;MSO CZ;;;;;;;;;;;
R1217452;MeoStar R1r 3-12x56 RD;2013-03-14;2013-03-14;cz;MSO CZ;;;;;;;;;;;
