serial_number;product_model;purchase_date;registration_date;country;source_note;;;;;;;;;;;
160615;MeoStar B1 8x56;2016-11-03;2016-11-04;ez;MSO CZ;;;;;;;;;;;
152142;MeoStar B1 10x42 HD;2016-10-25;2016-11-04;;MSO CZ;;;;;;;;;;;
R1604404;MeoStar R1 1-4x22 RD;2016-11-01;2016-11-06;ez;MSO CZ;;;;;;;;;;;
R1606337;MeoStar R1 7x56 RD;2016-10-18;2016-11-06;ez;MSO CZ;;;;;;;;;;;
R1605374;MeoStar R2 2-12x50 RD;2016-11-03;2016-11-08;ez;MSO CZ;;;;;;;;;;;
R1502676;MeoStar R1r 3-12x56 RD;2016-11-03;2016-11-08;ez;MSO CZ;;;;;;;;;;;
160593;MeoStar B1 8x56;2016-11-08;2016-11-09;ez;MSO CZ;;;;;;;;;;;
R1401855;MeoStar R1 4-16x44 Tactic;2016-10-20;2016-11-09;ez;MSO CZ;;;;;;;;;;;
151027;MeoStar B1 10x42 HD;2016-11-04;2016-11-09;ez;MSO CZ;;;;;;;;;;;
R1401033;MeoStar R1r 3-12x56 RD/MR;2016-10-31;2016-11-09;ez;MSO CZ;;;;;;;;;;;
R1615367;MeoStar R2 1-6x24 RD;2016-11-09;2016-11-09;ez;MSO CZ;;;;;;;;;;;
153044;MeoStar B1 10x42 HD;2016-11-04;2016-11-09;ez;MSO CZ;;;;;;;;;;;
R1428424;MeoStar R1 3-12x56 RD;2016-10-12;2016-11-10;;MSO CZ;;;;;;;;;;;
R1612233;MeoStar R1r 3-12x56 RD;2016-11-10;2016-11-10;ez;MSO CZ;;;;;;;;;;;
R1602591;MeoStar R2 2.5-15x56 RD;2016-11-09;2016-11-10;pl;MSO CZ;;;;;;;;;;;
R1614078;MeoStar R1r 3-12x56 RD;2016-11-10;2016-11-11;ez;MSO CZ;;;;;;;;;;;
R1427209;MeoStar R1r 3-12x56 RD;2016-11-10;2016-11-11;ez;MSO CZ;;;;;;;;;;;
R1515969;MeoStar R2 2.5-15x56 RD;2016-11-10;2016-11-12;ez;MSO CZ;;;;;;;;;;;
160611;MeoStar B1 8x56;2016-11-07;2016-11-12;ez;MSO CZ;;;;;;;;;;;
R1614154;MeoStar R1r 3-12x56 RD;2016-11-10;2016-11-13;;MSO CZ;;;;;;;;;;;
R1612146;MeoStar R1r 3-12x56 RD;2016-10-25;2016-11-14;ez;MSO CZ;;;;;;;;;;;
R1606788;MeoStar R1r 3-12x56 RD;2016-11-01;2016-11-14;ez;MSO CZ;;;;;;;;;;;
R1608006;MeoStar R2 2.5-15x56 RD;2016-11-14;2016-11-15;pl;MSO CZ;;;;;;;;;;;
R1616110;MeoStar R2 2.5-15x56 RD;2016-11-16;2016-11-16;;MSO CZ;;;;;;;;;;;
R1613774;MeoStar R2 2.5-15x56 RD/MR;2016-11-09;2016-11-16;ez;MSO CZ;;;;;;;;;;;
R1508064;MeoStar R1r 3-12x56 RD;2016-11-13;2016-11-16;ez;MSO CZ;;;;;;;;;;;
R1510525;MeoStar R1r 3-12x56 RD/MR;2016-11-14;2016-11-16;ez;MSO CZ;;;;;;;;;;;
R1617676;MeoStar R1r 3-12x56 RD;2016-11-14;2016-11-17;ez;MSO CZ;;;;;;;;;;;
151755;MeoStar B1 7x50;2016-11-10;2016-11-17;ez;MSO CZ;;;;;;;;;;;
R1612279;MeoStar R1r 3-12x56 RD;2016-11-16;2016-11-18;ez;MSO CZ;;;;;;;;;;;
160002;MeoStar B1 8x56;2016-11-10;2016-11-19;ez;MSO CZ;;;;;;;;;;;
R1612339;MeoStar R1r 3-12x56 RD;2016-11-18;2016-11-19;ez;MSO CZ;;;;;;;;;;;
153523;MeoStar B1 8x56;2016-10-26;2016-11-19;ez;MSO CZ;;;;;;;;;;;
160651;MeoStar B1 8x56;2016-11-04;2016-11-21;ez;MSO CZ;;;;;;;;;;;
R1511358;MeoStar R1 1-4x22 RD;2016-11-03;2016-11-22;ez;MSO CZ;;;;;;;;;;;
R1618340;MeoStar R2 2.5-15x56 RD;2016-11-22;2016-11-22;pl;MSO CZ;;;;;;;;;;;
154118;MeoStar B1 10x50;2016-11-21;2016-11-23;ez;MSO CZ;;;;;;;;;;;
R0713323;MeoStar R1 7x56;2016-11-03;2016-11-23;ez;MSO CZ;;;;;;;;;;;
R1312346;MeoStar R1 1-4x22 RD/MR;2016-11-20;2016-11-24;ez;MSO CZ;;;;;;;;;;;
R1613991;MeoStar R1r 3-12x56 RD;2016-11-15;2016-11-25;ez;MSO CZ;;;;;;;;;;;
R1614114;MeoStar R1r 3-12x56 RD;2016-11-23;2016-11-25;ez;MSO CZ;;;;;;;;;;;
R1617827;MeoStar R1r 3-12x56 RD;2016-11-25;2016-11-25;ez;MSO CZ;;;;;;;;;;;
153212;MeoStar B1 8x56;2016-11-16;2016-11-25;ez;MSO CZ;;;;;;;;;;;
140933;MeoSight III;2016-11-23;2016-11-25;pl;MSO CZ;;;;;;;;;;;
R1613866;MeoStar R2 2.5-15x56 RD/MR;2016-11-24;2016-11-26;;MSO CZ;;;;;;;;;;;
R1405598;Artemis 2000 7x50;2016-11-23;2016-11-26;ez;MSO CZ;;;;;;;;;;;
R1519360;MeoStar R2 2.5-15x56 RD;2016-11-28;2016-11-30;pl;MSO CZ;;;;;;;;;;;
R1612197;MeoStar R1r 3-12x56 RD;2016-11-25;2016-11-30;ez;MSO CZ;;;;;;;;;;;
R1613257;MeoStar R1r 3-12x56 RD;2016-11-15;2016-11-30;pl;MSO CZ;;;;;;;;;;;
R1617662;MeoStar R1r 3-12x56 RD;2016-12-02;2016-12-02;ez;MSO CZ;;;;;;;;;;;
R1612989;MeoStar R2 2.5-15x56 RD;2016-12-02;2016-12-02;ez;MSO CZ;;;;;;;;;;;
R161129;MeoStar R2 2.5-15x56 RD;2016-12-02;2016-12-02;ez;MSO CZ;;;;;;;;;;;
152702;MeoStar B1 8x56;2016-12-01;2016-12-04;pl;MSO CZ;;;;;;;;;;;
R1505810;MeoStar R1r 3-12x56 RD/MR;2016-11-28;2016-12-04;ez;MSO CZ;;;;;;;;;;;
R1119262;Artemis 2100 7x50 RD;2016-12-03;2016-12-04;ez;MSO CZ;;;;;;;;;;;
R1617079;MeoStar R2 1.7-10x42 RD;2016-12-02;2016-12-05;ez;MSO CZ;;;;;;;;;;;
R1608286;MeoStar R1r 3-12x56 RD;2016-12-02;2016-12-06;ez;MSO CZ;;;;;;;;;;;
R1520028;MeoStar R2 1.7-10x42 RD;2016-12-05;2016-12-06;ez;MSO CZ;;;;;;;;;;;
R1502873;MeoStar R1 3-12x56 RD;2016-11-24;2016-12-06;ez;MSO CZ;;;;;;;;;;;
160761;MeoStar B1 8x56;2016-12-06;2016-12-06;ez;MSO CZ;;;;;;;;;;;
R1612258;MeoStar R1r 3-12x56 RD;2016-12-07;2016-12-08;ez;MSO CZ;;;;;;;;;;;
R0811664;MeoStar R1 7x56;2016-12-08;2016-12-08;ez;MSO CZ;;;;;;;;;;;
R1616308;ZD 6-24x56;2016-12-08;2016-12-08;ez;MSO CZ;;;;;;;;;;;
R1603233;MeoStar R2 2-12x50 RD;2016-12-06;2016-12-09;ez;MSO CZ;;;;;;;;;;;
R1516959;MeoStar R1 1-4x22 RD;2016-12-08;2016-12-09;ez;MSO CZ;;;;;;;;;;;
R1509481;MeoStar R1r 3-12x56 RD;2016-12-05;2016-12-09;ez;MSO CZ;;;;;;;;;;;
R1516271;MeoStar R2 1.7-10x42 RD;2016-12-08;2016-12-11;ez;MSO CZ;;;;;;;;;;;
160966;MeoStar B1 8x56;2016-12-01;2016-12-11;ez;MSO CZ;;;;;;;;;;;
152974;MeoStar B1 10x42 HD;2016-12-02;2016-12-11;ez;MSO CZ;;;;;;;;;;;
R1616004;MeoStar R2 2.5-15x56 RD;2016-12-07;2016-12-12;ez;MSO CZ;;;;;;;;;;;
R1522863;MeoStar R2 2.5-15x56 RD;2016-12-07;2016-12-12;ez;MSO CZ;;;;;;;;;;;
R1603400;R1r 3-12x56 RGD;2016-12-05;2016-12-14;ez;MSO CZ;;;;;;;;;;;
151085;MeoStar B1 10x42 HD;2016-12-14;2016-12-15;ez;MSO CZ;;;;;;;;;;;
R1400741;MeoStar R1 1,5-6x42 RD;2016-12-12;2016-12-15;ez;MSO CZ;;;;;;;;;;;
R1503143;MeoStar R2 1-6x24 RD;2016-12-15;2016-12-15;up;MSO CZ;;;;;;;;;;;
160947;MeoSight III;2016-12-14;2016-12-15;ez;MSO CZ;;;;;;;;;;;
160704;MeoStar B1 8x56;2016-12-08;2016-12-15;ez;MSO CZ;;;;;;;;;;;
R1616949;MeoStar R2 2.5-15x56 RD;2016-11-15;2016-12-15;ez;MSO CZ;;;;;;;;;;;
R1613077;MeoStar R2 2.5-15x56 RD/MR;2016-12-15;2016-12-15;pl;MSO CZ;;;;;;;;;;;
R1616990;MeoStar R2 2.5-15x56 RD;2016-12-11;2016-12-16;ez;MSO CZ;;;;;;;;;;;
141941;MeoStar B1 10x32;2016-11-25;2016-12-17;ez;MSO CZ;;;;;;;;;;;
R1426302;Artemis 2100 7x50 RD;2016-12-13;2016-12-18;ez;MSO CZ;;;;;;;;;;;
R1617675;MeoStar R1r 3-12x56 RD;2016-11-21;2016-12-18;ez;MSO CZ;;;;;;;;;;;
R1608466;MeoStar R2 1.7-10x42 RD;2016-12-13;2016-12-19;ez;MSO CZ;;;;;;;;;;;
R1515968;MeoStar R2 2.5-15x56 RD;2016-12-19;2016-12-19;ez;MSO CZ;;;;;;;;;;;
R1618878;MeoStar R2 2.5-15x56 RD;2016-12-16;2016-12-19;ez;MSO CZ;;;;;;;;;;;
R1517725;MeoStar R2 2.5-15x56 RD;2016-12-12;2016-12-20;ez;MSO CZ;;;;;;;;;;;
R1611441;MeoStar R1 1-4x22 RD;2016-11-22;2016-12-21;ez;MSO CZ;;;;;;;;;;;
R1506228;MeoStar R1 4-16x44 Tactic;2016-12-13;2016-12-21;ez;MSO CZ;;;;;;;;;;;
160679;MeoStar B1 8x56;2016-12-14;2016-12-21;ez;MSO CZ;;;;;;;;;;;
160679;MeoStar B1 8x56;2016-12-14;2016-12-21;ez;MSO CZ;;;;;;;;;;;
R1609126;MeoStar R2 2-12x50 RD;2016-12-13;2016-12-22;ez;MSO CZ;;;;;;;;;;;
160610;MeoStar B1 8x56;2016-12-05;2016-12-22;ez;MSO CZ;;;;;;;;;;;
R1614751;MeoStar R1 1-4x22 RD;2016-12-15;2016-12-23;ez;MSO CZ;;;;;;;;;;;
145729;MeoStar B1 10x32;2016-12-13;2016-12-23;ez;MSO CZ;;;;;;;;;;;
R1618519;Artemis 2100 7x50 RD;2016-12-08;2016-12-23;ez;MSO CZ;;;;;;;;;;;
R1508057;MeoStar R1r 3-12x56 RD;2016-12-19;2016-12-23;ez;MSO CZ;;;;;;;;;;;
R1616393;R1r 3-12x56 RGD;2016-12-07;2016-12-23;ez;MSO CZ;;;;;;;;;;;
R1605039;Artemis 2100 3-12x50 RD;2016-12-06;2016-12-23;ez;MSO CZ;;;;;;;;;;;
R1616592;MeoStar R1r 3-12x56 RD;2016-12-02;2016-12-23;ez;MSO CZ;;;;;;;;;;;
R1604652;ZD 6-24x56;2016-11-29;2016-12-23;ez;MSO CZ;;;;;;;;;;;
R1612582;MeoStar R1 1-4x22 RD;2016-12-16;2016-12-23;gm;MSO CZ;;;;;;;;;;;
R1522168;MeoStar R1r 3-12x56 RD;2016-11-23;2016-12-23;pl;MSO CZ;;;;;;;;;;;
R1604279;Artemis 2100 7x50 RD;2016-11-24;2016-12-23;hu;MSO CZ;;;;;;;;;;;
R1612188;MeoStar R1r 3-12x56 RD;2016-11-25;2016-12-23;pl;MSO CZ;;;;;;;;;;;
152702;MeoStar B1 8x56;2016-12-01;2016-12-23;pl;MSO CZ;;;;;;;;;;;
R1509701;MeoStar R1r 3-12x56 RD/MR;2016-12-05;2016-12-23;pl;MSO CZ;;;;;;;;;;;
R1615121;ZD 6-24x56;2016-12-23;2016-12-23;ez;MSO CZ;;;;;;;;;;;
143842;MeoStar B1 8x56;2016-12-12;2016-12-23;ez;MSO CZ;;;;;;;;;;;
R1619276;MeoStar R2 2.5-15x56 RD;2016-12-20;2016-12-24;ez;MSO CZ;;;;;;;;;;;
151023;MeoStar B1 10x42 HD;2016-11-25;2016-12-25;ez;MSO CZ;;;;;;;;;;;
R1217014;MeoStar R1r 3-12x56 RD/MR;2016-12-22;2016-12-25;pl;MSO CZ;;;;;;;;;;;
150185;MeoStar B1 12x50;2016-11-30;2016-12-25;ez;MSO CZ;;;;;;;;;;;
160617;MeoStar B1 8x56;2016-12-19;2016-12-26;ez;MSO CZ;;;;;;;;;;;
151008;MeoStar B1 10x42 HD;2016-12-06;2016-12-26;ez;MSO CZ;;;;;;;;;;;
R1617802;MeoStar R1r 3-12x56 RD;2016-12-16;2016-12-26;ez;MSO CZ;;;;;;;;;;;
R1516065;MeoStar R2 2.5-15x56 RD;2016-12-27;2016-12-27;ez;MSO CZ;;;;;;;;;;;
R1407104;MeoStar R2 1-6x24 RD;2016-12-16;2016-12-28;ez;MSO CZ;;;;;;;;;;;
S1500292;MeoStar S2 82 HD Angled / Šikmý;2016-12-16;2016-12-28;ez;MSO CZ;;;;;;;;;;;
160520;MeoStar B1 10x50;2016-11-28;2016-12-28;ez;MSO CZ;;;;;;;;;;;
R1521981;ZD 6-24x56;2016-12-14;2016-12-29;pl;MSO CZ;;;;;;;;;;;
160688;MeoStar B1 8x56;2016-11-29;2016-12-29;;MSO CZ;;;;;;;;;;;
R1514334;MeoStar R1 1-4x22;2016-11-30;2016-12-29;ez;MSO CZ;;;;;;;;;;;
R1616039;MeoStar R2 2.5-15x56 RD;2016-12-01;2016-12-30;ez;MSO CZ;;;;;;;;;;;
R1615751;Artemis 2100 7x50 RD;2016-12-21;2016-12-31;ez;MSO CZ;;;;;;;;;;;
R1717329;ZD 1-4x22;2017-08-01;2017-08-11;ez;MSO CZ;;;;;;;;;;;
R1717341;ZD 1-4x22;2017-08-01;2017-08-11;ez;MSO CZ;;;;;;;;;;;
R1708437;MeoStar R1r 3-12x56 RD;2017-08-14;2017-08-28;pl;MSO CZ;;;;;;;;;;;
R1509543;MeoStar R1r 3-12x56 RD;2016-12-21;2017-01-01;ez;MSO CZ;;;;;;;;;;;
R1509543;MeoStar R1r 3-12x56 RD;2016-12-21;2017-01-01;ez;MSO CZ;;;;;;;;;;;
R1421478;MeoStar R1 4-12x40;2017-01-02;2017-01-02;ez;MSO CZ;;;;;;;;;;;
R1618575;MeoStar R1r 3-12x56 RD;2016-12-21;2017-01-02;ez;MSO CZ;;;;;;;;;;;
R1422616;MeoStar R2 1.7-10x42 RD;2016-12-09;2017-01-02;ez;MSO CZ;;;;;;;;;;;
R1614541;MeoStar R1 1,5-6x42 RD;2016-12-23;2017-01-02;ez;MSO CZ;;;;;;;;;;;
R1520786;MeoStar R1r 3-12x56 RD;2016-12-23;2017-01-02;ez;MSO CZ;;;;;;;;;;;
R1616476;MeoStar R1r 3-12x56 RD;2016-12-27;2017-01-03;ez;MSO CZ;;;;;;;;;;;
R1611096;MeoStar R1r 3-12x56 RD;2016-12-27;2017-01-03;ez;MSO CZ;;;;;;;;;;;
153208;MeoStar B1 10x42 HD;2016-12-12;2017-01-03;ez;MSO CZ;;;;;;;;;;;
R1617666;MeoStar R1r 3-12x56 RD;2016-12-20;2017-01-03;ez;MSO CZ;;;;;;;;;;;
R1520914;MeoStar R1 3-12x56 RD;2017-01-03;2017-01-03;ez;MSO CZ;;;;;;;;;;;
153733;MeoStar B1 12x50 HD;2017-01-03;2017-01-03;ez;MSO CZ;;;;;;;;;;;
160946;MeoStar B1 8x56;2016-12-21;2017-01-04;ez;MSO CZ;;;;;;;;;;;
R1603277;MeoStar R2 2-12x50 RD;2016-12-15;2017-01-04;ez;MSO CZ;;;;;;;;;;;
R1609731;ZD 6-24x56;2016-12-28;2017-01-04;;MSO CZ;;;;;;;;;;;
S1600869;MeoStar S2 82 HD Angled / Šikmý;2016-12-15;2017-01-05;ez;MSO CZ;;;;;;;;;;;
123456;MeoRed;2017-01-05;2017-01-05;as;MSO CZ;;;;;;;;;;;
R1608318;MeoStar R1r 3-12x56 RD;2016-12-20;2017-01-06;pl;MSO CZ;;;;;;;;;;;
R1611092;MeoStar R1r 3-12x56 RD;2017-01-06;2017-01-06;ez;MSO CZ;;;;;;;;;;;
150951;MeoStar B1 10x42 HD;2017-01-06;2017-01-07;ez;MSO CZ;;;;;;;;;;;
R1505050;MeoStar R1 3-12x56 RD;2016-12-29;2017-01-07;ez;MSO CZ;;;;;;;;;;;
R1605987;ZD 4-16x44 RD;2017-01-06;2017-01-08;ez;MSO CZ;;;;;;;;;;;
R1616479;MeoStar R1r 3-12x56 RD;2016-12-14;2017-01-08;pl;MSO CZ;;;;;;;;;;;
R1509566;MeoStar R1r 3-12x56 RD;2017-01-05;2017-01-09;ez;MSO CZ;;;;;;;;;;;
R1509566;MeoStar R1r 3-12x56 RD;2017-01-05;2017-01-09;ez;MSO CZ;;;;;;;;;;;
160774;MeoRed;2017-01-05;2017-01-09;ez;MSO CZ;;;;;;;;;;;
R1507305;MeoStar R1r 3-12x56 RD;2017-01-06;2017-01-09;ez;MSO CZ;;;;;;;;;;;
R1504831;MeoStar R1 3-12x56 RD;2017-01-09;2017-01-11;ez;MSO CZ;;;;;;;;;;;
R1619268;MeoStar R2 2.5-15x56 RD;2016-12-14;2017-01-11;ez;MSO CZ;;;;;;;;;;;
144715;MeoStar B1 10x50;2016-12-19;2017-01-13;ez;MSO CZ;;;;;;;;;;;
150959;MeoStar B1 10x42 HD;2017-01-09;2017-01-15;ez;MSO CZ;;;;;;;;;;;
R1421405;MeoStar R1 4-12x40;2017-01-12;2017-01-15;ez;MSO CZ;;;;;;;;;;;
R1614416;MeoStar R1 7x56 RD;2017-01-14;2017-01-15;ez;MSO CZ;;;;;;;;;;;
R1618573;MeoStar R1r 3-12x56 RD;2017-01-10;2017-01-16;;MSO CZ;;;;;;;;;;;
150958;MeoStar B1 10x42 HD;2017-01-16;2017-01-16;ez;MSO CZ;;;;;;;;;;;
R1616595;MeoStar R1r 3-12x56 RD;2017-01-14;2017-01-16;ez;MSO CZ;;;;;;;;;;;
R1619167;MeoStar R1r 3-12x56 RD;2017-01-11;2017-01-18;ez;MSO CZ;;;;;;;;;;;
153343;MeoStar B1 8x42;2017-01-11;2017-01-18;ez;MSO CZ;;;;;;;;;;;
R1618317;MeoStar R2 2.5-15x56 RD;2017-01-18;2017-01-19;ez;MSO CZ;;;;;;;;;;;
R1610589;R1r 3-12x56 RGD;2017-01-18;2017-01-19;ez;MSO CZ;;;;;;;;;;;
161881;MeoSight III;2016-12-21;2017-01-20;ez;MSO CZ;;;;;;;;;;;
R1510177;MeoStar R1 7x56;2017-01-20;2017-01-20;ez;MSO CZ;;;;;;;;;;;
R1617812;MeoStar R1r 3-12x56 RD;2017-01-20;2017-01-20;ez;MSO CZ;;;;;;;;;;;
R1614088;MeoStar R1r 3-12x56 RD;2017-01-20;2017-01-21;ez;MSO CZ;;;;;;;;;;;
R1616475;MeoStar R1r 3-12x56 RD;2017-01-17;2017-01-23;ez;MSO CZ;;;;;;;;;;;
R1603236;MeoStar R2 2-12x50 RD;2017-01-24;2017-01-24;ez;MSO CZ;;;;;;;;;;;
160346;MeoStar B1 8x56;2017-01-24;2017-01-25;ez;MSO CZ;;;;;;;;;;;
152248;MeoStar B1 10x42 HD;2017-01-17;2017-01-25;ez;MSO CZ;;;;;;;;;;;
R1515011;MeoStar R1r 3-12x56 RD;2017-01-23;2017-01-25;;MSO CZ;;;;;;;;;;;
R1619256;MeoStar R1 3-12x56 RD;2016-12-26;2017-01-25;;MSO CZ;;;;;;;;;;;
R1617752;MeoStar R1r 3-12x56 RD;2017-01-26;2017-01-27;;MSO CZ;;;;;;;;;;;
160609;MeoStar B1 8x56;2017-01-26;2017-01-27;ez;MSO CZ;;;;;;;;;;;
R1502450;MeoStar R1r 3-12x56 RD;2017-01-26;2017-01-27;ez;MSO CZ;;;;;;;;;;;
R1502450;MeoStar R1r 3-12x56 RD;2017-01-26;2017-01-27;ez;MSO CZ;;;;;;;;;;;
160717;MeoStar B1 8x56;2017-01-27;2017-01-27;ez;MSO CZ;;;;;;;;;;;
R1604389;MeoStar R1 1-4x22 RD;2017-01-26;2017-01-28;ez;MSO CZ;;;;;;;;;;;
R1612206;MeoStar R1r 3-12x56 RD;2017-01-27;2017-01-28;ez;MSO CZ;;;;;;;;;;;
R1616964;MeoStar R2 2.5-15x56 RD;2017-01-26;2017-01-28;ez;MSO CZ;;;;;;;;;;;
150975;MeoStar B1 10x42 HD;2017-01-25;2017-01-29;ez;MSO CZ;;;;;;;;;;;
R1619427;MeoStar R2 2.5-15x56 RD;2017-01-24;2017-01-29;ez;MSO CZ;;;;;;;;;;;
170107;MeoStar B1 8x56;2017-01-24;2017-01-29;ez;MSO CZ;;;;;;;;;;;
R1619272;MeoStar R2 2.5-15x56 RD;2016-12-31;2017-01-29;ez;MSO CZ;;;;;;;;;;;
R1403245;ZD 3-12x56;2017-01-25;2017-01-29;ez;MSO CZ;;;;;;;;;;;
R1518843;MeoStar R2 2.5-15x56 RD;2017-01-31;2017-01-31;ez;MSO CZ;;;;;;;;;;;
805336;MeoStar B1 10x32;2017-01-30;2017-02-01;;MSO CZ;;;;;;;;;;;
R1617698;MeoStar R1r 3-12x56 RD;2017-01-26;2017-02-01;;MSO CZ;;;;;;;;;;;
R1616073;MeoStar R2 2.5-15x56 RD;2017-02-02;2017-02-02;ez;MSO CZ;;;;;;;;;;;
160749;MeoStar B1 8x56;2017-02-02;2017-02-02;ez;MSO CZ;;;;;;;;;;;
152054;MeoStar B1 8x32;2017-02-02;2017-02-02;ez;MSO CZ;;;;;;;;;;;
R1602427;Artemis 2100 7x50 RD;2017-01-26;2017-02-03;ez;MSO CZ;;;;;;;;;;;
160156;MeoStar B1 8x56;2017-02-03;2017-02-03;ez;MSO CZ;;;;;;;;;;;
R1605360;MeoStar R2 2-12x50 RD;2017-02-02;2017-02-03;ez;MSO CZ;;;;;;;;;;;
R1617668;MeoStar R1 3-12x56 RD;2017-02-02;2017-02-03;ez;MSO CZ;;;;;;;;;;;
R1615665;MeoStar R2 2.5-15x56 RD;2017-01-05;2017-02-04;pl;MSO CZ;;;;;;;;;;;
170136;MeoStar B1 8x56;2017-01-31;2017-02-05;ez;MSO CZ;;;;;;;;;;;
170126;MeoStar B1 8x56;2017-01-31;2017-02-05;ez;MSO CZ;;;;;;;;;;;
160659;MeoStar B1 7x50;2017-02-02;2017-02-06;ez;MSO CZ;;;;;;;;;;;
R1619269;MeoStar R2 2.5-15x56 RD;2017-01-08;2017-02-06;ez;MSO CZ;;;;;;;;;;;
R1620463;MeoStar R1r 3-12x56 RD;2017-01-24;2017-02-07;ez;MSO CZ;;;;;;;;;;;
153142;MeoStar B1 12x50 HD;2017-01-31;2017-02-07;ez;MSO CZ;;;;;;;;;;;
150175;MeoStar B1 12x50 HD;2017-01-31;2017-02-07;ez;MSO CZ;;;;;;;;;;;
S1600712;MeoStar S2 82 HD Angled / Šikmý;2017-01-31;2017-02-07;ez;MSO CZ;;;;;;;;;;;
S1600960;MeoStar S2 82 HD Angled / Šikmý;2017-01-31;2017-02-07;ez;MSO CZ;;;;;;;;;;;
R1614304;MeoStar R2 1-6x24 RD;2017-02-07;2017-02-07;ez;MSO CZ;;;;;;;;;;;
R1519060;MeoStar R1 3-12x56;2017-02-07;2017-02-08;ez;MSO CZ;;;;;;;;;;;
170010;MeoStar B1 8x56;2017-02-08;2017-02-08;ez;MSO CZ;;;;;;;;;;;
160730;MeoStar B1 10x42 HD;2017-01-27;2017-02-09;ez;MSO CZ;;;;;;;;;;;
R1616340;R1r 3-12x56 RGD;2017-02-08;2017-02-09;ez;MSO CZ;;;;;;;;;;;
R1610786;MeoStar R2 8x56;2017-01-27;2017-02-09;ez;MSO CZ;;;;;;;;;;;
R1616096;MeoStar R2 2.5-15x56 RD;2017-02-08;2017-02-09;ez;MSO CZ;;;;;;;;;;;
R1612142;MeoStar R1r 3-12x56 RD;2017-02-10;2017-02-10;ez;MSO CZ;;;;;;;;;;;
R1618654;MeoStar R1r 3-12x56 RD;2017-02-08;2017-02-11;;MSO CZ;;;;;;;;;;;
R1605389;MeoStar R2 2-12x50 RD;2017-01-31;2017-02-11;ez;MSO CZ;;;;;;;;;;;
R1616022;MeoStar R2 2.5-15x56 RD;2017-02-02;2017-02-12;ez;MSO CZ;;;;;;;;;;;
R0821055;Artemis 2000 7x50;2017-02-07;2017-02-13;ez;MSO CZ;;;;;;;;;;;
R1508978;MeoStar R1r 3-12x56 RD;2017-02-12;2017-02-13;ez;MSO CZ;;;;;;;;;;;
R1617532;MeoStar R2 2.5-15x56 RD;2017-02-08;2017-02-13;ez;MSO CZ;;;;;;;;;;;
R1406887;MeoStar R2 2.5-15x56 RD;2017-01-19;2017-02-13;ez;MSO CZ;;;;;;;;;;;
R1406887;MeoStar R2 2.5-15x56 RD;2017-01-19;2017-02-13;ez;MSO CZ;;;;;;;;;;;
125037;MeoStar B1 8x56;2017-02-10;2017-02-16;ez;MSO CZ;;;;;;;;;;;
R1615157;MeoStar R2 8x56;2017-02-15;2017-02-16;dr;MSO CZ;;;;;;;;;;;
R1320720;R1r 3-12x56 RGD;2017-02-16;2017-02-16;ez;MSO CZ;;;;;;;;;;;
153091;MeoStar B1 12x50 HD;2017-01-26;2017-02-16;ez;MSO CZ;;;;;;;;;;;
R1619138;MeoStar R2 2-12x50 RD;2017-02-16;2017-02-16;ez;MSO CZ;;;;;;;;;;;
R1616637;MeoStar R1r 3-12x56 RD;2017-02-16;2017-02-17;ez;MSO CZ;;;;;;;;;;;
144753;MeoStar B1 10x50;2017-02-17;2017-02-17;ez;MSO CZ;;;;;;;;;;;
R1615157;MeoStar R2 8x56;2017-02-15;2017-02-18;ez;MSO CZ;;;;;;;;;;;
R1509542;MeoStar R1 3-12x56 RD;2017-02-17;2017-02-18;ez;MSO CZ;;;;;;;;;;;
R1681559;MeoStar R1r 3-12x56 RD;2017-02-11;2017-02-18;ez;MSO CZ;;;;;;;;;;;
160671;MeoStar B1 7x50;2017-01-19;2017-02-18;ez;MSO CZ;;;;;;;;;;;
R1414405;MeoStar R1r 3-12x56 RD;2017-01-21;2017-02-19;ez;MSO CZ;;;;;;;;;;;
170161;MeoStar B1 8x56;2017-02-21;2017-02-21;ez;MSO CZ;;;;;;;;;;;
144716;MeoStar B1 10x50;2017-02-21;2017-02-21;ez;MSO CZ;;;;;;;;;;;
R1508968;MeoStar R1r 3-12x56 RD;2017-02-22;2017-02-22;ez;MSO CZ;;;;;;;;;;;
144924;MeoStar B1 15x56 HD;2017-02-22;2017-02-22;ez;MSO CZ;;;;;;;;;;;
R1618571;MeoStar R1r 3-12x56 RD;2017-02-01;2017-02-23;ez;MSO CZ;;;;;;;;;;;
R1611983;MeoStar R2 1-6x24 RD;2017-02-24;2017-02-24;ez;MSO CZ;;;;;;;;;;;
R1619369;MeoStar R2 2.5-15x56 RD;2017-02-24;2017-02-24;ez;MSO CZ;;;;;;;;;;;
R1603262;MeoStar R2 2-12x50 RD;2017-02-23;2017-02-24;ez;MSO CZ;;;;;;;;;;;
R1505073;R1r 3-12x56 RGD;2017-02-23;2017-02-24;ez;MSO CZ;;;;;;;;;;;
R1602967;MeoStar R1r 3-12x56 RD;2017-02-25;2017-02-25;ez;MSO CZ;;;;;;;;;;;
R1604296;Artemis 2100 7x50 RD;2017-02-21;2017-02-25;ez;MSO CZ;;;;;;;;;;;
R1615744;Artemis 2100 7x50 RD;2017-02-21;2017-02-25;ez;MSO CZ;;;;;;;;;;;
